u,g,r,i,z,class,redshift,redshift_err
19.19569,17.3445,16.47097,16.06784,15.7399,GALAXY,0.04087759,1.533359E-05
19.15859,17.34954,16.4969,16.10579,15.79345,GALAXY,0.04256609,1.623774E-05
18.52141,17.56177,17.26736,17.10192,17.00217,GALAXY,0.03575706,4.943652E-06
19.35287,17.4368,16.4474,15.98766,15.62644,GALAXY,0.09657628,2.676342E-05
19.33871,17.62348,16.86724,16.48278,16.18582,GALAXY,0.03600679,1.721918E-05
18.13967,16.27623,15.40219,14.96758,14.62897,GALAXY,0.03552287,1.343561E-05
18.43803,17.08073,16.50616,16.17469,15.96114,GALAXY,0.04064452,2.730834E-05
19.26589,18.15041,17.8896,17.74546,17.71285,GALAXY,0.02251297,9.473723E-06
16.87993,16.60884,16604,16.73685,16.66611,GALAXY,0.005289246,5.276882E-06
17.37293,16.67231,16.44412,16.50912,16.48517,GALAXY,0.005270182,5.395576E-06
18.99492,17.79404,17.16438,16.80595,16.59802,GALAXY,0.0969395,2.018765E-05
17.60564,15.6884,14.79852,14.34542,14.01396,GALAXY,0.04017343,1.10309E-05
19.15754,17.41416,16.56482,16.18512,15.89214,GALAXY,0.04040727,1.72134E-05
18.96363,18.67637,18.47234,18.41949,17.96547,QSO,0.3698131,3.673339E-05
17.70096,15.78726,14.89818,14.48576,14.14392,GALAXY,0.03511012,1.002765E-05
19.33928,17.86101,17.04922,16.61506,16.28878,GALAXY,0.09219278,9.061308E-06
18.82345,17.2439,16.36413,15.88445,15.51134,GALAXY,0.07223801,1.377665E-05
19.26516,17.99321,17.47414,17.14265,16.93251,GALAXY,0.06389839,7.801792E-06
18.89091,17.70877,17.08739,16.63596,16.4144,GALAXY,0.078319,7.454052E-06
19.11118,17.97169,17.52744,17.27083,17.17729,GALAXY,0.0352582,8.879019E-06
19.42328,17.38028,16.37687,15.93596,15.58416,GALAXY,0.09004497,2.822481E-05
19.20103,17.75733,16.96925,16.56822,16.26453,GALAXY,0.09493727,1.200174E-05
18.73026,17.37945,16.62684,16.22299,15.92939,GALAXY,0.09548915,1.709143E-05
19.24236,18.18596,17.61742,17.20611,17.01726,GALAXY,0.05858022,6.597133E-06
19.5403,17.54965,16.58414,16.16101,15.81551,GALAXY,0.09463031,1.650087E-05
19.06376,17.60402,16.85892,16.4708,16.21223,GALAXY,0.0879248,1.934319E-05
18.17485,16.16745,15.19847,14.7566,14.40484,GALAXY,0.07252388,1.433751E-05
18.33101,16.86031,16.08617,15.68345,15.38158,GALAXY,0.07254209,9.74722E-06
19.44932,18.11353,17.47403,17.06372,16.78604,GALAXY,0.04933764,8.295976E-06
19.35118,17.48843,16.39488,15.94884,15.59169,GALAXY,0.1380527,2.309945E-05
19.43566,17.51004,16.51138,16.06897,15.69386,GALAXY,0.09167954,2.068483E-05
18.68642,17.16112,16.17371,15.71859,15.34876,GALAXY,0.1373313,2.477517E-05
19.16253,17.2394,16.24816,15.82092,15.46671,GALAXY,0.09259003,1.90704E-05
19.30239,17.90054,17.11262,16.66364,16.33702,GALAXY,0.1213931,9.834866E-06
18.36191,17.01026,16.28012,15.86637,15.55808,GALAXY,0,0
19.0045,18.01168,17.53749,17.18568,17.02963,GALAXY,0.09100856,7.454541E-06
19.29148,17.93668,17.16398,16.72054,16.40235,GALAXY,0.1028107,1.049541E-05
18.76488,16.75557,15.72566,15272,14.89623,GALAXY,0.1041638,1.656124E-05
19.3526,17.89669,17.02844,16.60128,16.26256,GALAXY,0.1068865,1.422261E-05
19.24527,17.18633,16.1152,15.64112,15.2549,GALAXY,0.1146904,1.909466E-05
18.65735,17.32178,16.74006,16.43202,16.21406,GALAXY,0.05745656,1.86616E-05
18.71893,17.55303,16.98645,16.6849,16.47237,GALAXY,0.05280551,9.860599E-06
19.18742,18.01312,17.59209,17.38556,17.27655,GALAXY,0.006947624,4.750477E-05
19.3547,17.77061,16.88711,16.38547,16.05736,GALAXY,0.09146865,7.503832E-06
17.20734,15.75512,14.98388,14.60878,14.2761,GALAXY,0.02867431,7.934513E-06
17.85654,15.90843,15.01138,14.57068,14.23089,GALAXY,0.05258041,1.160913E-05
19.4395,18.34606,17.89598,17.57289,17.43036,GALAXY,0.07618898,6.788652E-06
18.95091,17.01286,15.99833,15.54242,15.18672,GALAXY,0.09749297,2.310433E-05
17.46221,17.06691,16.87794,16.86131,16725,QSO,0.8034984,6.577913E-05
19.35979,17.7796,16.90792,16.4722,16.12705,GALAXY,0.1146796,1.462439E-05
19.54186,18.26003,17.42892,16.98113,16.68697,GALAXY,0.1273269,8.841335E-06
19.23488,17.33521,16.38146,15.89437,15.49413,GALAXY,0.07723882,1.843854E-05
17.96254,16.16429,15.39294,14.90381,14.54489,GALAXY,0.05069121,4.323113E-06
17.80566,16.59223,16.06062,15.75611,15.58005,GALAXY,0.05060415,9.56252E-06
19.25225,17.71097,16.80569,16.33258,15.93953,GALAXY,0.1159241,1.704928E-05
19.45076,17.61312,16.61744,16.12243,15.73968,GALAXY,0.07581986,2.13172E-05
19.26014,18.27402,17.88486,17.56656,17.46192,GALAXY,0.0849696,6.918151E-06
18.77701,18.58197,18.51498,18.27264,18.24195,QSO,1.851836,0.0001526855
19.39115,18.23681,17.66522,17.30622,17.15552,GALAXY,0.1150499,2.387569E-05
19.17461,17.05566,16.04446,15.59306,15.20858,GALAXY,0.09404372,1.534816E-05
19.57235,18.18137,17.38634,16.93528,16.62593,GALAXY,0.09348191,1.69009E-05
18.8985,17.35386,16.59441,16.20499,15.91412,GALAXY,0.05948211,1.112978E-05
19.03673,17.40306,16.48184,16.06462,15.74351,GALAXY,0.08029238,2.067931E-05
18.9664,17.88164,17.28113,16.89205,16.66426,GALAXY,0.08800626,7.782522E-06
19.14365,18.0396,17.46614,17.11486,16.84668,GALAXY,0.09384681,8.958012E-06
18.60367,16.70164,15.76999,15.31554,14.95008,GALAXY,0.07216512,1.494585E-05
18.71739,16.8447,15.91783,15.48379,15.14037,GALAXY,0.07226273,1.42438E-05
18.87132,17.0152,16.03411,15.60002,15.24057,GALAXY,0.08682497,1.489258E-05
19.40572,18.20468,17.57117,17.20986,17.01209,GALAXY,0.08063264,9.871242E-06
16.51096,14.53083,13.5704,13.11638,12.81764,GALAXY,0.03656447,1.008507E-05
19.12278,17.94234,17.28613,16.89516,16.69047,GALAXY,0.1421489,9.10263E-06
18.12934,16.14146,15.23039,14.78253,14.43131,GALAXY,0.03696278,1.128781E-05
19.35087,18.14243,17.61327,17.2913,17.12773,GALAXY,0.09456378,9.06178E-06
18.86234,17.19269,16.34147,15.86481,15.4981,GALAXY,0.03913505,1.527214E-05
